Rank,Company,Industry,Revenue,Profit,Employees,Country
2,Walmart,Retail,713,21.8,"2,100,000",United States
5,China National Petroleum Corporation,Oil and Gas,476,25.2,"1,026,301",China
8,Alphabet,Information technology,402,132,"190,820",United States
9,UnitedHealth Group,Healthcare,400,14.4,"400,000",United States
10,Berkshire Hathaway,Financials,371,88.9,"392,400",United States
11,CVS Health,Healthcare,357,8.3,"259,500",United States
19,Microsoft,Information technology,281,101,"228,000",United States
20,Cencora,Healthcare,262,1.7,"44,000",United States
23,JPMorgan Chase,Financials,239,49.5,"309,926",United States
24,Industrial and Commercial Bank of China,Financials,222,51.4,"419,252",China
35,Foxconn,Electronics,197,4.5,"621,393",Taiwan
40,Ford Motor Company,Automotive,176,4.3,"177,000",United States
42,Bank of America,Financials,171,26.5,"212,985",United States
43,General Motors,Automotive,171,10.1,"163,000",United States
44,Elevance Health,Healthcare,171,5.9,"104,900",United States
49,Baowu,Steel,157,2.4,"258,697",China